tag,release_datetime
v1.0.0-beta,2024-10-24T10:12:58
v1.0.1-beta,2024-10-31T10:23:08
v1.0.2-beta,2024-11-07T14:13:47
v1.0.3-beta,2024-11-19T10:27:30
v1.0.4-beta,2024-11-21T14:00:44
v1.0.5-beta,2024-11-28T10:15:00
v1.0.6-beta,2024-12-05T10:49:00
v1.0.7-beta,2025-01-08T15:44:59
v1.0.8-beta,2025-01-16T09:04:35
v1.0.9-beta,2025-01-23T11:00:31
v1.0.10-beta,2025-02-07T10:02:18
v1.0.11-beta,2025-02-13T09:40:24
v1.0.12-beta,2025-02-26T13:15:29
v1.0.13-beta,2025-03-06T08:41:32
v1.0.14-beta,2025-03-13T08:41:56
v1.0.15-beta,2025-03-20T08:46:54
v1.0.16-beta,2025-03-27T11:30:44
v1.0.17-beta,2025-04-03T09:41:14
v1.0.18-beta,2025-04-14T11:16:10
v1.0.19-beta,2025-04-24T10:04:55
v1.0.20-beta,2025-05-01T07:25:27
v1.0.21-beta,2025-05-08T08:55:04
v1.0.22-beta,2025-05-15T15:17:16
v1.0.23-beta,2025-05-29T09:32:36
v1.0.24-beta,2025-06-09T11:11:31
v1.0.25-beta,2025-06-13T09:24:58
v1.0.26-beta,2025-07-07T12:46:41
v1.0.27-beta,2025-07-14T08:06:43
v1.0.28-beta,2025-07-17T08:28:57
v1.0.29-beta,2025-07-23T14:41:49
v1.0.30-beta,2025-07-31T09:55:09
v1.0.31-beta,2025-08-08T11:03:26
v1.0.32-beta,2025-08-08T11:58:45
v1.0.33-beta,2025-08-13T22:40:17
v1.0.34-beta,2025-08-27T11:26:18
v1.0.35-beta,2025-09-03T12:16:21
v1.0.36-beta,2025-09-11T11:35:50
v1.0.37-beta,2025-09-17T11:58:26
v1.0.38-beta,2025-10-01T11:50:33
v1.0.39-beta,2025-10-08T11:51:35
v1.0.40-beta,2025-10-16T13:31:48
v1.0.41-beta,2025-10-23T10:05:57
v1.0.42-beta,2025-10-29T14:06:38
v1.0.43-beta,2025-11-05T12:48:03
v1.0.44-beta,2025-11-13T10:02:42
v1.0.45-beta,2025-11-20T10:31:23
v1.0.46-beta,2025-11-26T14:02:30
v1.0.47-beta,2025-12-03T14:54:32
v1.0.48-beta,2025-12-10T12:44:55
v1.0.49-beta,2026-01-08T08:55:05
v1.0.50-beta,2026-01-14T14:38:54
v1.0.51-beta,2026-01-21T11:06:26
v1.0.52-beta,2026-01-28T16:45:07
v1.0.53-beta,2026-02-04T16:26:58
v1.0.54-beta,2026-02-11T13:36:29
v1.0.55-beta,2026-02-19T09:29:09
v1.0.56-beta,2026-02-25T12:46:25
v1.0.57-beta,2026-02-25T14:59:18
v1.0.58-beta,2026-03-05T13:46:07
v1.0.59-beta,2026-03-12T10:13:32
v1.0.62-beta,2026-03-26T11:35:50
v1.0.63-beta,2026-03-30T10:26:27
v1.0.64-beta,2026-04-13T16:22:17
v1.0.65-beta,2026-04-28T10:12:44
v1.0.66-beta,2026-04-28T13:53:04
v1.0.67-beta,2026-05-05T13:25:11
